商品ID,品类ID,二级品类,商品名称,规格,存储方式,零售价_元,成本价_元,损耗率
S001,C01,叶菜类,有机菠菜,500g/份,冷藏,8.9,4.2,0.08
S002,C01,叶菜类,上海青,400g/份,冷藏,6.5,3.0,0.1
S003,C01,叶菜类,罗马生菜,300g/份,冷藏,9.9,4.8,0.12
S004,C02,根茎类,山东大葱,500g/份,常温,5.9,2.5,0.06
S005,C02,根茎类,紫皮洋葱,500g/份,常温,4.5,1.8,0.05
S006,C02,根茎类,铁棍山药,500g/份,常温,12.9,6.5,0.07
S007,C03,菌菇类,金针菇,200g/盒,冷藏,5.5,2.2,0.15
S008,C03,菌菇类,白玉菇,150g/盒,冷藏,7.9,3.5,0.14
S009,C03,菌菇类,香菇,250g/份,冷藏,8.5,3.8,0.13
S010,C04,热带水果,进口香蕉,1kg/份,常温,9.9,5.2,0.09
S011,C04,热带水果,海南芒果,500g/份,常温,15.9,8.5,0.11
S012,C04,热带水果,泰国金枕榴莲,800g/份,冷藏,89.0,52.0,0.18
S013,C05,浆果类,丹东草莓,250g/盒,冷藏,19.9,10.5,0.2
S014,C05,浆果类,云南蓝莓,125g/盒,冷藏,16.9,8.8,0.18
S015,C05,浆果类,智利车厘子,500g/盒,冷藏,68.0,38.0,0.22
S016,C06,核果类,烟台红富士,1kg/份,常温,12.9,6.8,0.08
S017,C06,核果类,新疆库尔勒香梨,1kg/份,常温,14.9,7.5,0.09
S018,C06,核果类,水蜜桃,500g/份,常温,18.9,9.2,0.12
S019,C07,猪肉,黑猪梅花肉,300g/盒,冷藏,28.9,18.5,0.06
S020,C07,猪肉,猪肋排,400g/盒,冷藏,35.9,22.0,0.07
S021,C07,猪肉,精品五花肉,350g/盒,冷藏,32.9,20.5,0.06
S022,C08,禽类,散养土鸡,1kg/只,冷藏,45.9,28.0,0.08
S023,C08,禽类,鸡翅中,500g/盒,冷藏,22.9,13.5,0.07
S024,C08,禽类,鸭腿,400g/盒,冷藏,18.9,10.8,0.08
S025,C09,蛋类,可生食鸡蛋,10枚/盒,冷藏,19.9,11.5,0.05
S026,C09,蛋类,土鸡蛋,15枚/盒,常温,24.9,14.0,0.06
S027,C10,淡水鱼,鲜活鲈鱼,500g/条,鲜活,32.9,19.5,0.15
S028,C10,淡水鱼,黑鱼鱼片,300g/盒,冷藏,28.9,16.8,0.12
S029,C11,海水产,基围虾,300g/盒,冷藏,39.9,24.0,0.16
S030,C11,海水产,三文鱼刺身,200g/盒,冷藏,45.9,28.5,0.14
S031,C11,海水产,北极甜虾,500g/袋,冷冻,58.0,35.0,0.1
S032,C12,鲜奶,每日鲜语鲜牛奶,950ml/瓶,冷藏,16.9,9.5,0.08
S033,C12,鲜奶,明治醇壹,900ml/盒,冷藏,22.9,13.0,0.07
S034,C13,酸奶,卡士CLASSY-KISS,110g*3杯,冷藏,18.9,10.5,0.09
S035,C13,酸奶,简爱裸酸奶,450g/瓶,冷藏,15.9,8.8,0.08
S036,C14,奶酪,安佳黄油,227g/块,冷藏,29.9,17.5,0.05
S037,C15,米面,五常大米,5kg/袋,常温,49.9,28.0,0.04
S038,C15,米面,金龙鱼调和油,5L/桶,常温,69.9,48.0,0.03
S039,C15,米面,挂面组合装,1kg/袋,常温,12.9,6.5,0.04
S040,C16,调味,海天酱油组合,500ml*2,常温,18.9,10.0,0.03
S041,C16,调味,李锦记蚝油,510g/瓶,常温,12.9,6.8,0.04
S042,C16,调味,海底捞火锅底料,220g/包,常温,15.9,8.5,0.05
